"","houseid","cityid","adrnum","street","state","zip","bathnum","bednum","outview","numlvl","yrbuilt","landsz","condtn","housesz","closedt","sellprice","origprice","longitude","latitude"
"125",125,65,"95-1029","Keni","HI",96789,3,3,"Mountain",2,2003,5850,5,2001,2013-06-28,789000,789900,-157.979647,21.481964
"126",126,65,"95-1029","Hoalia","HI",96789,3,3,"Other",2,2003,4646,4,1845,2015-04-17,789000,799000,-157.985041,21.476827
"127",127,65,"95-1068","Hoailona","HI",96789,3,3,"Garden",2,1993,6978,5,1840,2015-02-27,789000,785000,-158.000036,21.474696
"128",128,65,"95-1116","Kihene","HI",96789,3,4,"Mountain",2,2002,5604,4,2211,2013-08-20,790000,799900,-157.983526,21.476754
"129",129,65,"95-1077","Kihene","HI",96789,3,3,"Mountain,Sunset",2,2002,5000,4,1960,2014-07-14,790500,785000,-157.984118,21.475297
"130",130,65,"95-1392","Lehiwa","HI",96789,3,4,"Other",2,2001,5500,5,2128,2014-09-22,798800,798800,-157.9854049,21.482304
"131",131,65,"95-1053","Meanui","HI",96789,3,4,"Mountain",2,1991,6337,5,2330,2014-05-16,799000,820538,-157.9968489,21.4666961
"132",132,65,"95-202","Kuinehe","HI",96789,3,3,"None",2,1999,6507,5,2100,2014-06-02,799000,799000,-157.9946395,21.4788752
"133",133,65,"95-1077","Kopalani","HI",96789,3,4,"Garden,Mountain,Other",2,1995,6169,5,1962,2014-08-07,799000,799000,-157.999126,21.47791
"134",134,65,"95-205","Ainakuai","HI",96789,3,3,"Garden",2,1991,7151,4,1875,2014-05-09,800000,818000,-157.995209,21.4696779
"135",135,65,"95-215","Mua","HI",96789,3,5,"Mountain",2,1992,5009,5,2303,2014-10-17,800000,849000,-157.996209,21.462869
"136",136,65,"95-1042","Kamalino","HI",96789,3,5,"City,Mountain",2,1999,5400,4,2001,2014-12-03,800000,819000,-157.998133,21.4803998
"137",137,65,"95-1018","Haulelau","HI",96789,3,3,"None",2,2004,5471,4,2004,2015-01-30,800000,799000,-157.978184,21.480435
"138",138,65,"95-216","Pahala","HI",96789,3,3,"Mountain,Other",2,2000,6854,5,1724,2014-08-29,803000,765000,-157.9864946,21.4767921
"139",139,65,"95-1037","Mahea","HI",96789,3,4,"Mountain,Ocean,Sunset",2,2005,4633,5,2163,2013-06-14,815000,839000,-157.979758,21.480872
"140",140,65,"95-319","Hookowa","HI",96789,3,3,"None",1,1997,7338,5,1814,2014-09-24,815000,825000,-158.002751,21.477318
"141",141,65,"95-1021","Melekomo","HI",96789,3,3,"None",1,2006,6201,5,2108,2015-03-27,815000,870000,-158.013772,21.474551
"142",142,65,"95-1018","Moohele","HI",96789,3,4,"Mountain",2,2006,4680,5,2163,2013-10-08,818000,820000,-158.010518,21.474219
"143",143,65,"95-1036","Mahea","HI",96789,3,3,"Mountain,Ocean,Sunset",2,2005,5561,5,2024,2013-08-23,820000,835000,-157.979758,21.480872
"144",144,65,"95-1011","Halepakui","HI",96789,3,4,"None",2,2005,3962,4,2274,2014-04-04,820000,820000,-157.981374,21.480973
"145",145,65,"95-1001","Aoakua","HI",96789,3,3,"Other",1,1993,6593,4,2019,2014-07-25,820000,840000,-157.993661,21.473627
"146",146,65,"95-1031","Haakualiki","HI",96789,2,3,"Mountain",1,1997,5700,5,1748,2013-10-18,823000,792000,-158.002835,21.47783
"147",147,65,"95-1029","Meakino","HI",96789,3,4,"Mountain",2,2005,5184,5,2163,2013-10-28,825000,829000,-158.006884,21.475091
"148",148,65,"95-204","Pahaku","HI",96789,3,4,"Garden,Mountain,Ocean,Other,Sunrise,Sunset",2,2000,5609,5,1971,2013-06-07,827000,839999,-157.996047,21.481761
"149",149,65,"95-1032","Ailona","HI",96789,3,3,"Garden,Mountain,Sunset",2,1993,5200,4,2043,2014-02-28,829000,839000,-157.9939039,21.471518
"150",150,65,"95-1144","Ahokele","HI",96789,3,4,"Mountain",2,2001,5200,5,2246,2013-08-23,830000,849900,-157.990208,21.48336
"151",151,65,"95-201","Kemu","HI",96789,3,3,"None",2,2001,6281,5,2217,2013-10-02,835000,859000,-157.981762,21.483057
"152",152,65,"95-203","Ainakuai","HI",96789,3,4,"Other",2,1991,7176,4,2330,2014-06-19,835000,830000,-157.995092,21.469839
"153",153,65,"95-1241","Ahoka","HI",96789,3,4,"Mountain",2,2003,5450,4,2103,2014-09-10,835000,849900,-157.979654,21.482681
"154",154,65,"95-1005","Oliliko","HI",96789,3,3,"Garden,Mountain",2,1993,5445,4,2208,2014-10-15,842000,829000,-157.993006,21.473909
"155",155,65,"95-1062","Kamalino","HI",96789,3,5,"None",2,1999,8691,4,2001,2014-12-08,845000,850000,-157.997288,21.480539
"156",156,65,"95-1013","Kelakela","HI",96789,3,3,"Garden",1,2006,5500,4,2108,2014-12-04,848000,877000,-158.0094499,21.476059
"157",157,65,"95-1033","Hoama","HI",96789,3,3,"None",1,2004,6059,4,2036,2014-08-21,850000,885000,-157.9813969,21.479162
"158",158,65,"95-215","Milia","HI",96789,3,3,"Garden,Mountain",2,1991,7964,4,2275,2014-06-06,855000,915000,-157.996229,21.4685549
"159",159,65,"95-1161","Anuanu","HI",96789,3,4,"None",2,2001,5201,5,2830,2013-07-30,860000,850000,-157.987687,21.483146
"160",160,65,"95-1116","Kihene","HI",96789,3,4,"Mountain,Sunset",2,2002,5604,4,2211,2015-03-16,860000,860000,-157.983526,21.476754
"161",161,65,"95-1037","Kihene","HI",96789,3,4,"None",2,2002,5701,5,2211,2015-05-01,860000,880000,-157.985343,21.4740119
"162",162,65,"95-1021","Kahanui","HI",96789,3,4,"Mountain,Sunrise,Sunset",2,1998,7790,5,2796,2013-07-26,865000,860000,-158.002231,21.480348
"163",163,65,"95-230","Kaeolau","HI",96789,3,4,"Mountain",2,2003,5514,5,2287,2013-11-29,865000,875000,-157.9881119,21.4730828
"164",164,65,"95-1018","Hakala","HI",96789,2,4,"Garden,Mountain",2,1992,6531,5,2248,2014-09-05,865000,875000,-157.9978109,21.4646993
"165",165,65,"95-1010","Kahakuhi","HI",96789,3,4,"Mountain",2,2005,5103,5,2271,2015-04-08,873000,949000,-157.979746,21.479428
"166",166,65,"95-1025","Keni","HI",96789,4,4,"Other",2,2003,5850,4,2357,2014-08-07,874500,879500,-157.979788,21.481934
"167",167,65,"95-1007","Meanui","HI",96789,4,4,"Mountain",2,1991,9573,5,2913,2014-02-18,879000,949000,-157.997868,21.468264
"168",168,65,"95-202","Hoahele","HI",96789,3,3,"Mountain",2,2000,5519,5,2366,2014-07-31,880000,990000,-157.996772,21.481698
"169",169,65,"95-316","Haakualiki","HI",96789,3,3,"Mountain",2,1997,6156,5,1921,2015-04-10,880000,925000,-158.0020429,21.478288
"170",170,65,"95-1045","Kahakuhi","HI",96789,3,3,"None",2,2005,5602,5,2497,2013-07-19,888000,888000,-157.979996,21.479297
"171",171,65,"95-1002","Kowa","HI",96789,3,4,"Mountain,Sunset",2,1995,9295,5,2314,2014-08-01,889000,924000,-157.993961,21.473319
